city,neighbourhood,room_type,property_type,actual_price,predicted_price,potential_uplift_per_night,estimated_uplift,mispricing_pct
San Francisco,North Beach,Private room,Apartment,263.0,614.0258,351.02581787109375,21061.549072265625,-0.5716792480943965
Austin,78734,Entire home/apt,Apartment,175.0,480.32916,305.32916259765625,18319.749755859375,-0.6356665103289028
Austin,78703,Entire home/apt,Apartment,80.0,372.3808,292.38079833984375,17542.847900390625,-0.7851661515398813
Austin,78701,Entire home/apt,Apartment,109.0,379.74582,270.7458190917969,16244.749145507812,-0.7129658984510079
San Francisco,Western Addition,Entire home/apt,Apartment,79.0,345.20172,266.20172119140625,15972.103271484375,-0.7711483021366619
Austin,78704,Entire home/apt,Apartment,68.0,330.4868,262.4867858886719,15749.207153320312,-0.7942429080268687
San Francisco,Glen Park,Entire home/apt,Apartment,195.0,456.69327,261.6932678222656,15701.596069335938,-0.5730175727576315
Austin,78703,Entire home/apt,Apartment,75.0,315.82706,240.82705688476562,14449.623413085938,-0.7625282623351523
Austin,78701,Entire home/apt,Apartment,150.0,383.2735,233.27349853515625,13996.409912109375,-0.6086345636385265
Austin,78702,Entire home/apt,Apartment,140.0,359.39902,219.39901733398438,13163.941040039062,-0.6104608158405175
Washington D.C.,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Entire home/apt,Apartment,168.0,382.45767,214.45767211914062,12867.460327148438,-0.5607357042437214
Austin,78702,Entire home/apt,Apartment,89.0,301.80627,212.8062744140625,12768.37646484375,-0.7051088478104447
Austin,78703,Entire home/apt,Apartment,125.0,321.92514,196.92514038085938,11815.508422851562,-0.6117109715255028
Austin,78734,Entire home/apt,Apartment,175.0,368.7937,193.793701171875,11627.6220703125,-0.5254799649670755
Austin,78703,Entire home/apt,Apartment,45.0,238.44653,193.446533203125,11606.7919921875,-0.8112784472246198
San Francisco,Marina,Entire home/apt,Apartment,200.0,391.97363,191.9736328125,11518.41796875,-0.48976159808261976
Austin,78746,Entire home/apt,Apartment,30.0,216.90277,186.90277099609375,11214.166259765625,-0.8616891805382224
Austin,78702,Entire home/apt,Apartment,90.0,273.62762,183.62762451171875,11017.657470703125,-0.6710858409833341
San Francisco,Financial District,Entire home/apt,Apartment,150.0,331.96164,181.96163940429688,10917.698364257812,-0.5481405614541063
Austin,78746,Entire home/apt,Apartment,325.0,504.37094,179.37094116210938,10762.256469726562,-0.3556329806567067
San Francisco,Downtown/Civic Center,Entire home/apt,Apartment,120.0,297.95587,177.95587158203125,10677.352294921875,-0.5972557970989258
San Francisco,Bernal Heights,Entire home/apt,Apartment,125.0,299.04623,174.04623413085938,10442.774047851562,-0.5820044336512148
San Francisco,Marina,Private room,Apartment,119.0,292.88007,173.88006591796875,10432.803955078125,-0.5936903400133415
Washington D.C.,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Entire home/apt,Apartment,149.0,321.72195,172.72195434570312,10363.317260742188,-0.5368671674799863
San Francisco,Noe Valley,Entire home/apt,Apartment,103.0,273.86356,170.86355590820312,10251.813354492188,-0.623900304447501
Boston,Back Bay,Entire home/apt,Apartment,119.0,289.6853,170.685302734375,10241.1181640625,-0.5892093976575806
Austin,78734,Entire home/apt,Apartment,194.0,363.84314,169.8431396484375,10190.58837890625,-0.4668031938503719
Austin,78704,Entire home/apt,Apartment,150.0,317.89413,167.89413452148438,10073.648071289062,-0.5281448013320847
Austin,78702,Entire home/apt,Apartment,90.0,257.5877,167.58770751953125,10055.262451171875,-0.6506044451163265
Austin,78702,Entire home/apt,Apartment,149.0,316.26306,167.2630615234375,10035.78369140625,-0.5288732130705756
Austin,78704,Entire home/apt,Apartment,140.0,307.1119,167.11190795898438,10026.714477539062,-0.544140111888148
